number,name,category,asterisk2,asterisk3,biggerlinks,smallerlinks,fronttext,backtext,frontimage,backimage
"111","HALF-HIDDEN GARDEN","BUILDINGS","/100%","/80%","37, 38, 41, 79, 95, 104, 105","110, 112, 115, 118, 140, 172, 173","If a garden is too close to the street, people won't use it because it isn't private enough. But if it is too far from the street, then it won't be used either, because it is too isolated.","Do not place the garden fully in front of the house, nor fully to the back. Instead, place it in some kind of half-way position, side-by-side with the house, in a position which is half-hidden from the street, and half-exposed.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//111/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//111/back.gif"
"112","ENTRANCE TRANSITION","BUILDINGS","/100%","/100%","53, 102, 110, 111","127, 130, 134, 135, 173, 174","Buildings, and especially houses, with a graceful transition between the street and the inside, are more tranquil than those which open directly off the street.","Make a transition space between the street and the front door. Bring the path which connects street and entrance through this transition space, and mark it with a change of light, a change of sound, a change of direction, a change of surface, a change of level, perhaps by gateways which make a change of enclosure, and above all with a change of view.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//112/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//112/back.gif"
"113","CAR CONNECTION","BUILDINGS","/80%","/80%","110, 112","112, 119, 120, 127, 129, 162, 163, 205, 245","The process of arriving in a house, and leaving it, is fundamental to our daily fives; and very often it involves a car. But the place where cars connect to houses, far from being important and beautiful, is often off to one side and neglected.","Place the parking place for the car and the main entrance, in such a relation to each other, that the shortest route from the parked car into the house, both to the kitchen and to the living rooms, is always through the main entrance. Make the parking place for the car into an actual room which makes a positive and graceful place where the car stands, not just a gap in the terrain.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//113/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//113/back.gif"
"114","HIERARCHY OF OPEN SPACE","BUILDINGS","/100%","/80%","104, 105, 106","7, 49, 51, 60, 61, 67, 106, 124, 140, 176","Outdoors, people always try to find a spot where they can have their backs protected, looking out toward some larger opening, beyond the space immediately in front of them.","Whatever space you are shaping - whether it is a garden, terrace, street, park, public outdoor room, or courtyard, make sure of two things. First, make at least one smaller space, which looks into it and forms a natural back for it. Second, place it, and its openings, so that it looks into at least one larger space.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//114/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//114/back.gif"
"115","COURTYARDS WHICH LIVE","BUILDINGS","/100%","/100%","106, 114","114, 119, 126, 134, 161, 163, 166, 167, 173, 209","The courtyards built in modern buildings are very often dead. They are intended to be private open spaces for people to use - but they end up unused, full of gravel and abstract sculptures.","Place every courtyard in such a way that there is a view out of it to some larger open space; place it so that at least two or three doors open from the building into it and so that the natural paths which connect these doors pass across the courtyard. And, at one edge, beside a door, make a roofed veranda or a porch, which is continuous with both the inside and the courtyard.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//115/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//115/back.gif"
"116","CASCADE OF ROOFS","BUILDINGS","/100%","/80%","95, 96, 99, 107","117, 118, 190, 205, 209","Few buildings will be structurally and socially intact, unless the floors step down toward the ends of wings, and unless the roof, accordingly, forms a cascade.","Visualize the whole building, or building complex, as a system of roofs.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//116/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//116/back.gif"
"117","SHELTERING ROOF","BUILDINGS","/100%","/100%","107, 116","118, 119, 145, 166, 209, 220, 231","The roof plays a primal role in our lives. The most primitive buildings are nothing but a roof. If the roof is hidden, if its presence cannot be felt around the building, or if it cannot be used, then people will lack a fundamental sense of shelter.","Slope the roof or make a vault of it, make its entire surface visible, and bring the eaves of the roof down low, as low as 6'0"" or 6'6"" at places like the entrance, where people pause. Build the top story of each wing right into the roof, so that the roof does not only cover it, but actually surrounds it.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//117/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//117/back.gif"
"118","ROOF GARDEN","BUILDINGS","/100%","/80%","107, 116, 117","107, 140, 161, 163, 166, 167, 177, 244, 245, 246","A vast part of the earth's surface, in a town, consists of roofs. Couple this with the fact that the total area of a town which can be exposed to the sun is finite, and you will realize that is is natural, and indeed essential, to make roofs which take advantage of the sun and air.","Make parts of almost every roof system usable as roof gardens. Make these parts flat, perhaps terraced for planting, with places to sit and sleep, private places. Place the roof gardens at various stories, and always make it possible to walk directly out onto the roof garden from some lived-in part of the building.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//118/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//118/back.gif"
"119","ARCADES","BUILDINGS","/100%","/100%","98, 100, 108, 116","117, 160, 190, 193, 205, 211, 224, 226, 227","Arcades - covered walkways at the edge of buildings, which are partly inside, partly outside - play a vital role in the way that people interact with buildings.","Wherever paths run along the edge of buildings, build arcades, and use the arcades, above all, to connect up the buildings to one another, so that a person can walk from place to place under the cover of the arcades.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//119/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//119/back.gif"
"12","COMMUNITY OF 7000","TOWNS","/100%","/80%","8","3, 14, 28, 31, 44","Individuals have no effective voice in any community of more than 5000-10,000 persons.","Decentralize city governments in a way that gives local control to communities of 5,000 to 10,000 persons. As nearly as possible, use natural geographic and historical boundaries to mark these communities. Give each community the power to initiate, decide, and execute the affairs that concern it closely: land use, housing, maintenance, streets, parks, police, schooling, welfare, neighborhood services.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//12/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//12/back.gif"
"120","PATHS AND GOALS","BUILDINGS","/100%","/80%","36, 52, 95, 98, 106, 107, 119","102, 110, 121, 126, 171, 241, 245, 247","The layout of paths will seem right and comfortable only when it is compatible with the process of walking. And the process of walking is far more subtle than one might imagine.","To lay out paths, first place goals at natural points of interest. Then connect the goals to one another to form the paths. The paths may be straight, or gently curving between goals; their paving should swell around the goal. The goals should never be more than a few hundred feet apart.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//120/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//120/back.gif"
"121","PATH SHAPE","BUILDINGS","/100%","/80%","31, 32, 52, 55, 100, 120","69, 119, 122, 123, 124, 125, 164","Streets should be for staying in, and not just for moving through, the way they are today.","Make a bulge in the middle of a public path, and make the ends narrower, so that the path forms an enclosure which is a place to stay, not just a place to pass through.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//121/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//121/back.gif"
"122","BUILDING FRONTS","BUILDINGS","/100%","/80%","95, 106, 107, 119, 121, 124","125, 140, 158, 160, 164, 165, 166, 242","Building set-backs from the street, originally invented to protect the public welfare by giving every building light and air, have actually helped greatly to destroy the street as a social space.","On no account allow set-backs between streets or paths or public open land and the buildings which front on them. The set-backs do nothing valuable and almost always destroy the value of the open areas between the buildings. Build right up to the paths; change the laws in all communities where obsolete by-laws make this impossible. And let the building fronts take on slightly uneven angles as they accommodate to the shape of the street.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//122/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//122/back.gif"
"123","PEDESTRIAN DENSITY","BUILDINGS","/100%","/80%","31, 61, 100, 101, 121","88, 124, 125, 140, 160, 164, 165, 166","Many of our modern public squares, though intended as lively plazas, are in fact deserted and dead.","For public squares, courts, pedestrian streets, any place where crowds are drawn together, estimate the mean number of people in the place at any given moment (P), and make the area of the place between 150P and 300P square feet.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//123/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//123/back.gif"
"124","ACTIVITY POCKETS","BUILDINGS","/100%","/100%","31, 61, 69, 100, 101, 121","88, 92, 93, 119, 120, 122, 150, 163, 174, 241, 243","The life of a public square forms naturally around its edge. If the edge fails, then the space never becomes lively.","Surround public gathering places with pockets of activity - small, partly enclosed areas at the edges, which jut forward into the open space between the paths, and contain activities which make it natural for people to pause and get involved.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//124/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//124/back.gif"
"125","STAIR SEATS","BUILDINGS","/100%","/80%","61, 102, 106, 110, 121, 158","168, 241, 248","Wherever there is action in a place, the spots which are the most inviting, are those high enough to give people a vantage point, and low enough to put them in action.","In any public place where people loiter, add a few steps at the edge where stairs come down or where there is a change of level. Make these raised areas immediately accessible from below, so that people may congregate and sit to watch the goings-on.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//125/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//125/back.gif"
"126","SOMETHING ROUGHLY IN THE MIDDLE","BUILDINGS","/80%","/80%","61, 67, 115, 121, 124, 125","62, 63, 64, 69, 71, 120, 171, 243","A public space without a middle is quite likely to stay empty.","Between the natural paths which cross a public square or courtyard or a piece of common land choose something to stand roughly in the middle: a fountain, a tree, a statue, a clock-tower with seats, a windmill, a bandstand. Make it something which gives a strong and steady pulse to the square, drawing people in toward the center. Leave it exactly where it falls between the paths; resist the impulse to put it exactly in the middle.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//126/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//126/back.gif"
"127","INTIMACY GRADIENT","BUILDINGS","/100%","/100%","96, 107, 110","129, 130, 141, 142, 144, 149, 152","Unless the spaces in a building are arranged in a sequence which corresponds to their degrees of privateness, the visits made by strangers, friends, guests, clients, family, will always be a little awkward.","Lay out the spaces of a building so that they create a sequence which begins with the entrance and the most public parts of the building, then leads into the slightly more private areas, and finally to the most private domains.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//127/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//127/back.gif"
"128","INDOOR SUNLIGHT","BUILDINGS","/100%","/80%","105, 127","138, 157, 161, 162, 163, 183, 199, 236","If the right rooms are facing south, a house is bright and sunny and cheerful; if the wrong rooms are facing south, the house is dark and gloomy.","Place the most important rooms along the south edge of the building, and spread the building out along the east-west axis. Fine tune the arrangement so that the proper rooms are exposed to the south-east and the south-west sun. For example: give the common area a full southern exposure, bedrooms south-east, porch south-west. For most climates, this means the shape of the building is elongated east-west.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//128/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//128/back.gif"
"129","COMMON AREAS AT THE HEART","BUILDINGS","/100%","/100%","127, 128","119, 131, 132, 139, 142, 147, 159, 163, 181, 191","No social group - whether a family, a work group, or a school group - can survive without constant informal contact among its members.","Create a single common area for every social group. Locate it at the center of gravity of all the spaces the group occupies, and in such a way that the paths which go in and out of the building lie tangent to it.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//129/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//129/back.gif"
"13","SUBCULTURE BOUNDARY","TOWNS","/80%","/80%","8, 12, 14","7, 17, 23, 24, 25, 28, 30, 41, 41, 42, 59, 60, 64, 71, 84, 97","The mosaic of subcultures requires that hundreds of different cultures live, in their own way, at full intensity, next door to one another. But subcultures have their own ecology. They can only live at full intensity, unhampered by their neighbors, if they are physically separated by physical boundaries.","Separate neighboring subcultures with a swath of land at least 200 feet wide. Let this boundary be natural wilderness, farmland, water - or man-made - railroads, major roads, parks, schools, some housing. Along the seam between two subcultures, build meeting places, shared functions, touching each community.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//13/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//13/back.gif"
"130","ENTRANCE ROOM","BUILDINGS","/100%","/100%","102, 110, 112, 113, 140","102, 135, 142, 159, 166, 191, 201, 202, 237, 242","Arriving in a building, or leaving it, you need a room to pass through, both inside the building and outside it. This is the entrance room.","At the main entrance to a building, make a light-filled room which marks the entrance and straddles the boundary between indoors and outdoors, covering some space outdoors and some space indoors. The outside part may be like an old-fashioned porch; the inside like a hall or sitting room.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//130/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//130/back.gif"
"131","THE FLOW THROUGH ROOMS","BUILDINGS","/80%","/80%","127, 129","130, 132, 134, 135, 153, 159, 196","The movement between rooms is as important as the rooms themselves; and its arrangement has as much effect on social interaction in the rooms, as the interiors of the rooms.","As far as possible, avoid the use of corridors and passages. Instead, use public rooms and common rooms as rooms for movement and for gathering. To do this, place the common rooms to form a chain, or loop, so that it becomes possible to walk from room to room - and so that private rooms open directly off these public rooms. In every case, give this indoor circulation from room to room a feeling of great generosity, passing in a wide and ample loop around the house, with views of fires and great windows.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//131/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//131/back.gif"
"132","SHORT PASSAGES","BUILDINGS","/100%","/80%","98, 101, 101, 131, 131","159, 163, 166, 179, 180, 191, 194, 197, 198, 222, 237",""". . . long, sterile corridors set the scene for everything bad about modern architecture.""","Keep passages short. Make them as much like rooms as possible, with carpets or wood on the floor, furniture, bookshelves, beautiful windows. Make them generous in shape, and always give them plenty of light; the best corridors and passages of all are those which have windows along an entire wall.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//132/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//132/back.gif"
"133","STAIRCASE AS A STAGE","BUILDINGS","/80%","/80%","110, 131, 132","125, 134, 135, 191, 195","A staircase is not just a way of getting from one floor to another. The stair is itself a space, a volume, a part of the building; and unless this space is made to live, it will be a dead spot, and work to disconnect the building and to tear its processes apart.","Place the main stair in a key position, central and visible. Treat the whole staircase as a room (or if it is outside, as a courtyard). Arrange it so that the stair and the room are one, with the stair coming down around one or two walls of the room. Flare out the bottom of the stair with open windows or balustrades and with wide-steps so that the people coming down the stair become part of the action in the room while they are on the stair, and so that people below will naturally use the stair for seats.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//133/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//133/back.gif"
"134","ZEN VIEW","BUILDINGS","/100%","/80%","112, 120, 130, 132, 133","135, 180, 221","The archetypal zen view occurs in a famous Japanese house, which gives this pattern its name.","If there is a beautiful view, don't spoil it by building huge windows that gape incessantly at it. Instead, put the windows which look onto the view at places of transition along paths, in hallways, in entry ways, on stairs, between rooms. If the view window is correctly placed, people will see a glimpse of the distant view as they come up to the window or pass it: but the view is never visible from the places where people stay.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//134/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//134/back.gif"
"135","TAPESTRY OF LIGHT AND DARK","BUILDINGS","/100%","/80%","131, 132, 133, 134","180, 250, 252","In a building with uniform light level, there are few ""places"" which function as effective settings for human events. This happens because, to a large extent, the places which make effective settings are defined by light.","Create alternating areas of light and dark throughout the building, in such a way that people naturally walk toward the light, whenever they are going to important places: seats, entrances, stairs, passages, places of special beauty, and make other areas darker, to increase the contrast.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//135/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//135/back.gif"
"136","COUPLE","BUILDINGS","/80%","/80%","75, 76, 77, 127","138, 144, 159, 185, 187, 189, 191, 198, 224","The presence of children in a family often destroys the closeness and the special privacy which a man and wife need together.","Make a special part of the house distinct from the common areas and all the children's rooms, where the man and woman of the house can be together in private. Give this place a quick path to the children's rooms, but, at all costs, make it a distinctly separate realm.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//136/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//136/back.gif"
"137","CHILDREN","BUILDINGS","/80%","/80%","68, 76, 129, 136","132, 139, 143, 144, 157, 163","If children do not have space to release a tremendous amount of energy when they need to, they will drive themselves and everybody else in the family up the wall.","Start by placing the small area which will belong entirely to the children - the cluster of their beds. Place it in a separate position toward the back of the house, and in such a way that a continuous playspace can be made from this cluster to the street, almost like a wide swath inside the house, muddy, toys strewn along the way, touching those family rooms which children need - the bathroom and the kitchen most of all - passing the common area along one side (but leaving quiet sitting areas and the couple's realm entirely separate and inviolate), reaching out to the street, either through its own door or through the entrance room, and ending in an outdoor room, connected to the street, and sheltered, and large enough so that the children can play in it when it rains, yet still be outdoors.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//137/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//137/back.gif"
"138","SLEEPING TO THE EAST","BUILDINGS","/100%","/80%","127, 128, 136, 137","136, 143, 180, 187, 188, 221, 238","This is one of the patterns people most often disagree with. However, we believe they are mistaken.","Give those parts of the house where people sleep, an eastern orientation, so that they wake up with the sun and light. This means, typically, that the sleeping area needs to be on the eastern side of the house; but it can also be on the western side provided there is a courtyard or a terrace to the east of it.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//138/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//138/back.gif"
"139","FARMHOUSE KITCHEN","BUILDINGS","/100%","/100%","129, 147","142, 159, 179, 182, 184, 191, 199, 200, 201","The isolated kitchen, separate from the family and considered as an efficient but unpleasant factory for food is a hangover from the days of servants; and from the more recent days when women willingly took over the servants' role.","Make the kitchen bigger than usual, big enough to include the ""family room"" space, and place it near the center of the commons, not so far back in the house as an ordinary kitchen. Make it large enough to hold a good big table and chairs, some soft and some hard, with counters and stove and sink around the edge of the room; and make it a bright and comfortable room.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//139/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//139/back.gif"
"14","INDENTIFIABLE NEIGHBORHOOD","TOWNS","/100%","/100%","8, 8, 12, 12","15, 23, 37, 41, 53, 60, 61","People need an identifiable spatial unit to belong to.","Help people to define the neighborhoods they live in, not more than 300 yards across, with no more than 400 or 500 inhabitants. In existing cities, encourage local groups to organize themselves to form such neighborhoods. Give the neighborhoods some degree of autonomy as far as taxes and land controls are concerned. Keep major roads outside these neighborhoods.","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//14/front.jpg","https://raw.githubusercontent.com/maxkrieger/pattern-language-cards/master/patterns//14/back.gif"
